Indicateur,ID,Indicateurs_Onglet,Indicateurs_Sous-onglet,Tags objectifs environnementaux,Ordre,Type de graphique,Sous-niveau (graphique),Description,Unité,Périmètre,Sources,Contact source/DG,Lien données source,Lien site source,Etat source,Fichier,2017,label_2017,2018,label_2018,2019,label_2019,2020,label_2020,2021,label_2021,2022,label_2022,2023,label_2023,2024,label_2024,2025,label_2025,2026,label_2026,2027,label_2027,2028,label_2028,2029,label_2029,2030,label_2030,Objectifs 2030,Dernière mise à jour,Responsable SGPE,Version tdb,Prêt à publier,Statut recette,A supprimer de la V1,Commentaire suppression,Commentaire,ID Indicateur hub Ecolab
Territoires concernés par des restrictions d'eau estivales,7018ca32-827e-49b6-8c83-2f806f0b6d59,Eau,Ressources disponibles,"Adaptation, Ressources",1,Barres empilées,Au niveau crise,,%,,SDES,,https://www.notre-environnement.gouv.fr/IMG/xlsx/2023_gestion_de_l_eau_secheresse_graphique2.xlsx,https://www.notre-environnement.gouv.fr/themes/economie/l-utilisation-des-ressources-naturelles-ressources/article/gestion-de-l-eau-en-periode-de-secheresse-en-france-metropolitaine-6326,Fichier et lien,,"14,4475024182",mesuré,"15,9730614545",mesuré,"28,0767612727",mesuré,"24,0405095752",mesuré,"5,8938181818",mesuré,"50,8687272727",mesuré,,,,,,,,,,,,,,,,,,2024-08-01 9:37am,,Existant,true,true,false,,,
Consommations d'eau douce par usage,3fb7cd2e-3e72-4c59-93bf-0a9e01e9852b,Eau,Usages,"Adaptation, Ressources",2,Barres empilées,Eau potable ,"Nombre d'activités humaines nécessitent de prélever de l'eau dans le milieu, et parfois cette eau n'est pas directement restituée mais consommée, ce qui impacte le cycle naturel. L'indicateur représente une estimation du volume annuel d'eau prélevée (cf indicateur ""Prélèvements"") et non restituée. L'unité est le milliard  de mètres-cubes.


",Milliards de mètres cubes ,"Hexagone, les prélèvements en estuaire et en mer sont exclus",SDES (pour données récentes non publiques: Béatrice Michalland),,https://www.statistiques.developpement-durable.gouv.fr/media/6302/download?inline,https://www.statistiques.developpement-durable.gouv.fr/leau-en-france-ressource-et-utilisation-synthese-des-connaissances-en-2022,Fichier et lien,,"1,0351537",mesuré,"1,0177569568",mesuré,"0,9993232931",mesuré,"1,048",mesuré,"0,971",mesuré,,,,,,,,,,,,,,,,,,,,2024-08-01 9:37am,,Existant,true,true,false,,,
Consommations d'eau douce par usage,4092ac12-609c-4639-83ea-a862b3e65b75,Eau,Usages,"Adaptation, Ressources",2,Barres empilées,"Autres usages, principalement industriels",,,,SDES (pour données récentes non publiques: Béatrice Michalland),,https://www.statistiques.developpement-durable.gouv.fr/media/6302/download?inline,https://www.statistiques.developpement-durable.gouv.fr/leau-en-france-ressource-et-utilisation-synthese-des-connaissances-en-2022,Fichier et lien,,"0,1710253949",mesuré,"0,1781842451",mesuré,"0,1701403692",mesuré,"0,16",mesuré,"0,159",mesuré,,,,,,,,,,,,,,,,,,,,2024-08-01 9:37am,,Existant,true,true,false,,,
Consommations d'eau douce par usage,9051b367-78fc-4b8f-acd6-e21e0f88707d,Eau,Usages,"Adaptation, Ressources",2,Barres empilées,Agriculture (irrigation),,,,SDES (pour données récentes non publiques: Béatrice Michalland),,https://www.statistiques.developpement-durable.gouv.fr/media/6302/download?inline,https://www.statistiques.developpement-durable.gouv.fr/leau-en-france-ressource-et-utilisation-synthese-des-connaissances-en-2022,Fichier et lien,,"2,3657149461",mesuré,"2,502515408",mesuré,"2,6348110045",mesuré,"2,883",mesuré,"1,968",mesuré,,,,,,,,,,,,,,,,,,,,2024-08-01 9:37am,,Existant,true,true,false,,,
Consommations d'eau douce par usage,2cfe51a2-ce0a-463e-a9b8-05529d7974a3,Eau,Usages,"Adaptation, Ressources",2,Barres empilées,Refroidissement des centrales électriques,,,,SDES (pour données récentes non publiques: Béatrice Michalland),,https://www.statistiques.developpement-durable.gouv.fr/media/6302/download?inline,https://www.statistiques.developpement-durable.gouv.fr/leau-en-france-ressource-et-utilisation-synthese-des-connaissances-en-2022,Fichier et lien,,"0,4912725882",mesuré,"0,481587513",mesuré,"0,4761799616",mesuré,"0,419",mesuré,"0,411",mesuré,,,,,,,,,,,,,,,,,,,,2024-08-01 9:37am,,Existant,true,true,false,,,
Prélèvements d'eau douce par usage,ca90d0d9-e8f2-4c67-a652-9f2c81c18f81,Eau,Usages,"Adaptation, Ressources",3,Barres empilées,Production d'eau potable,"Même lorsque l'eau n'est pas consommée mais rapidement restituée, les prélèvements d'eau douce impactent les milieux naturels, et par ailleurs ne peuvent être réalisés qu'à condition de disposer d'une ressource suffisante. L'indicateur représente le volume annuel d'eau prélevée (pour les prélèvements soumis à redevance et excluant l'hydroélectricité), par grands usages. A noter que la trajectoire prévuepour atteindre l'objectif d'une baisse de 10% d'ici 2030 est en cours d'affinage.

",Milliards de mètres cubes ,Hexagone,DEB (pour données récentes: DGALN/DEB/EARM  - GOUTEYRON Philippe),,https://www.statistiques.developpement-durable.gouv.fr/media/6302/download?inline,https://www.statistiques.developpement-durable.gouv.fr/leau-en-france-ressource-et-utilisation-synthese-des-connaissances-en-2022,Fichier et lien,,"5,667",mesuré,"5,602",mesuré,"5,6",mesuré,"5,65",mesuré,"5,579",mesuré,,,,,,,,,,,,,,,,,,,Objectif -10% 2030 vs moyenne 18-20,2024-08-01 3:57pm,,Existant,true,true,false,,,
Prélèvements d'eau douce par usage,c11fcb3d-c282-4749-8163-5eab006c6c4c,Eau,Usages,"Adaptation, Ressources",3,Barres empilées,Alimentation des canaux,,,Hexagone,DEB (pour données récentes: DGALN/DEB/EARM  - GOUTEYRON Philippe),,https://www.statistiques.developpement-durable.gouv.fr/media/6302/download?inline,https://www.statistiques.developpement-durable.gouv.fr/leau-en-france-ressource-et-utilisation-synthese-des-connaissances-en-2022,Fichier et lien,,"5,297",mesuré,"5,409",mesuré,"5,205",mesuré,"5,321",mesuré,"5,142",mesuré,,,,,,,,,,,,,,,,,,,,2024-08-01 9:37am,,Existant,true,false,false,,"Faustine : 2019=5,21",
Prélèvements d'eau douce par usage,f4563a8f-c10d-423b-8d91-0ca2228fd759,Eau,Usages,"Adaptation, Ressources",3,Barres empilées,Refroidissement des centrales électriques,,,Hexagone,DEB (pour données récentes: DGALN/DEB/EARM  - GOUTEYRON Philippe),,https://www.statistiques.developpement-durable.gouv.fr/media/6302/download?inline,https://www.statistiques.developpement-durable.gouv.fr/leau-en-france-ressource-et-utilisation-synthese-des-connaissances-en-2022,Fichier et lien,,"16,128",mesuré,"16,136",mesuré,"15,242",mesuré,"13,644",mesuré,"14,816",mesuré,,,,,,,,,,,,,,,,,,,,2024-08-01 9:37am,,Existant,true,true,false,,,
Prélèvements d'eau douce par usage,35e9a7b6-3d43-44ac-9dac-330dcd50edc1,Eau,Usages,"Adaptation, Ressources",3,Barres empilées,Agriculture,,,Hexagone,DEB (pour données récentes: DGALN/DEB/EARM  - GOUTEYRON Philippe),,https://www.statistiques.developpement-durable.gouv.fr/media/6302/download?inline,https://www.statistiques.developpement-durable.gouv.fr/leau-en-france-ressource-et-utilisation-synthese-des-connaissances-en-2022,Fichier et lien,,"2,955",mesuré,"3,03",mesuré,"3,197",mesuré,"3,47",mesuré,"2,56",mesuré,,,,,,,,,,,,,,,,,,,,2024-08-01 3:57pm,,Existant,true,true,false,,,
Prélèvements d'eau douce par usage,8b82df90-19a7-46c4-96d6-44894e692ecf,Eau,Usages,"Adaptation, Ressources",3,Barres empilées,Industrie et autres activités économiques,,,Hexagone,DEB (pour données récentes: DGALN/DEB/EARM  - GOUTEYRON Philippe),,https://www.statistiques.developpement-durable.gouv.fr/media/6302/download?inline,https://www.statistiques.developpement-durable.gouv.fr/leau-en-france-ressource-et-utilisation-synthese-des-connaissances-en-2022,Fichier et lien,,"2,676",mesuré,"2,545",mesuré,"2,632",mesuré,"2,607",mesuré,"2,147",mesuré,,,,,,,,,,,,,,,,,,,,2024-08-01 9:37am,,Existant,true,false,false,,"Faustine : 2018=2,55",
Prélèvements d'eau douce par usage,c38be073-d24a-4e7f-822c-109d4e811766,Eau,Usages,"Adaptation, Ressources",3,Barres empilées,Total,,,Hexagone,DEB (pour données récentes: DGALN/DEB/EARM  - GOUTEYRON Philippe),,https://www.statistiques.developpement-durable.gouv.fr/media/6302/download?inline,https://www.statistiques.developpement-durable.gouv.fr/leau-en-france-ressource-et-utilisation-synthese-des-connaissances-en-2022,Fichier et lien,,"32,723",mesuré,"32,722",mesuré,"31,876",mesuré,"30,692",mesuré,"30,244",mesuré,"30,06",projection,"29,88",projection,"29,69",projection,"29,51",projection,"29,32",projection,"29,14",projection,"28,96",projection,"28,77",projection,"28,587",cible,,2024-08-09 12:32pm,,Existant,true,false,false,,"Faustine : Dans la description, espace manquante entre ""prévue"" et ""pour"" + 2022 doit apparaître en projection",
Consommation en eau potable des ménages (eau utilisée/facturée par les ménages),4431d8f7-68a4-45cd-9886-71d54e9cfe9d,Eau,Usages,"Adaptation, Ressources",4,Barres simple,,"La consommation d'eau potable par les ménages est l'un des usages de l'eau douce, et cet accès à l'eau est à l'évidence une priorité de premier rang et un droit fondamental. L'indicateur représente le volume d'eau consommée par les ménages.",Litres par habitant et par jour,Hexagone et outre-mer,SISPEA,,https://www.services.eaufrance.fr/cms/uploads/Rapport_Sispea_2022_VF_3769e4c885.pdf?updated_at=2024-06-28T06:48:42.892Z,https://www.services.eaufrance.fr/rapport-national,Lien seulement,,148,mesuré,148,mesuré,147,mesuré,149,mesuré,149,mesuré,"145,275",projection,"141,55",projection,"137,825",projection,"134,1",projection,"130,375",projection,"126,65",cible,,,,,,,"Objectif Bleu RIM : ""-15% d'ici la fin du quinquennat"" (vs. Quelle date ? )",2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2022 doit apparaître en projection,
Rendement des réseaux publics d’eau potable (%),3f00d81c-ea49-4cfb-8ca4-f19322c678f4,Eau,Réseaux,Ressources,5,Barres empilées,Rural,"Les pertes d'eau occasionnées par des fuite dans les réseaux publics d'eau potable représentent un gâchis économique et opérationnel, susceptible en outre d'accroître la pression sur la ressource. L'indicateur représente le rendement - le rapport entre le volume d'eau sorti des usines de production, et le volume livré aux utilisateurs - des réseaux en milieu rural ou urbain.

",Pourcents,Hexagone,"Source PPG, Données MTECT",,https://pilote.modernisation.gouv.fr/chantier/CH-062,,Lien seulement,,"77,4333333333",mesuré,"77,6",mesuré,"77,7666666667",mesuré,"77,9333333333",mesuré,"78,1",mesuré,"78,2666666667",mesuré,"78,6",cible,"78,8",cible,"79,2",cible,80,cible,,,,,,,,,,2024-08-01 9:37am,,Existant,true,false,false,,Eric: Le choix de graphe pour le rendement des reseaux me semble bizarre. On superpose des % du coup on se retrouve visuellement avec un rendement > 100% alors qu'en réalité il s'agit de 2 rendements pas top. Mon conseil serait de mettre les barres cote a cote et non superposées. + Faustine : 2023 doit apparaître en projection,
Rendement des réseaux publics d’eau potable (%),2350377b-c3cf-43e7-8d7b-a3735e09da5d,Eau,Réseaux,Ressources,5,Barres empilées,Urbain,,,,"Source PPG, Données MTECT",,https://pilote.modernisation.gouv.fr/chantier/CH-062,,Lien seulement,,"79,475",mesuré,"80,05",mesuré,"80,625",mesuré,"81,2",mesuré,"81,775",mesuré,"82,35",mesuré,"83,5",cible,"83,7",cible,"84,1",cible,85,cible,,,,,,,,,,2024-08-01 9:37am,,Existant,true,false,false,,Eric: Le choix de graphe pour le rendement des reseaux me semble bizarre. On superpose des % du coup on se retrouve visuellement avec un rendement > 100% alors qu'en réalité il s'agit de 2 rendements pas top. Mon conseil serait de mettre les barres cote a cote et non superposées. + Faustine : 2023 doit apparaître en projection,
Réseaux d'eau potable présentant un taux de fuite particulièrement élevé,611fd42e-52e8-4518-a963-41a3a18967a6,Eau,Réseaux,Ressources,6,Barres simple,,"Les pertes d'eau occasionnées par des fuite dans les réseaux publics d'eau potable représentent un gâchis économique et opérationnel, susceptible en outre d'accroître la pression sur la ressource. L'indicateur représente le nombre de ""points noirs"" du rendement résorbés, un point noir étant une collectivité où les fuites sont supérieures à 50%.",Nombre,Hexagone et outre-mer,"Source PPG, Données MTECT",,https://pilote.modernisation.gouv.fr/chantier/CH-062,,Lien seulement,,,,,,,,,,,,170,mesuré,"148,75",projection,"127,5",projection,"106,25",projection,85,projection,"63,75",projection,"42,5",projection,"21,25",projection,0,cible,Objectif plan eau résorption de tous les points noirs du rendement en 2030,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Part des eaux de surface à fort indice de pressions toxiques cumulées,bd0f54b1-0113-4172-b584-903f72fae805,Eau,Qualité,"Ressources, Santé, Biodiversité",9,Barres simple,,"La pollution chimique des eaux de surface constitue une menace, et de nombreux polluants font l’objet d’un suivi individuel; mais l'indice des pressions toxiques cumulées (IPTC) permet de documenter l’intensité des pressions due à leur présence simultanée de plusieurs d'entre eux. L'indicateur représente la proportion de stations de mesure dont l’IPTC dépasse 1 (et est dès lors considéré comme ""fort""), c'est-à-dire d’endroits où la survenue d’effets néfastes sur l’environnement, par les substances, est probable.
",Pourcents,Hexagone et outre-mer,SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6483/download?inline,https://www.statistiques.developpement-durable.gouv.fr/la-pollution-chimique-des-cours-deau-et-des-plans-deau-en-france-de-2000-2020,Fichier et lien,,"46,766848816",mesuré,"44,9641803624",mesuré,"46,9958847737",mesuré,"45,5501051156",mesuré,,,,,,,,,,,,,,,,,,,,,,2024-08-02 3:19pm,,Existant,true,true,false,,,
Pourcentage d’aires d’alimentation de captages sensibles couvert par un PGSSE,2a25ba1b-bd27-42fd-ba30-29edb30c377c,Eau,Qualité,"Ressources, Santé",10,Barres simple,,"La couverture des aires de captage par un Plan de gestion de la sécurité sanitaire des eaux vise à mettre en œuvre une approche globale de la sécurité sanitaire permettant de protéger la santé des consommateurs concernés. L'indicateur représente la part des aires d'alimentation de captages identifiés comme sensibles couverts par un PGSSE.
",Pourcents,Hexagone et outre-mer,"Source PPG, Données MTECT",,https://pilote.modernisation.gouv.fr/chantier/CH-062,,Lien seulement,,,,,,,,,,,,0,mesuré,0,mesuré,25,cible,60,cible,90,cible,100,cible,,,,,,,,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Non-conformité des eaux résiduaires urbaines,8c84c76d-3685-4fd4-9513-e72b267b5de4,Eau,Qualité,"Ressources, Santé, Biodiversité",12,Barres simple,,"La directive européenne relative au traitement des eaux résiduaires urbaines du 21 mars 1991 (DERU) fixe des exigences minimales de collecte et de traitement des eaux usées urbaines, afin d'éviter que celles-ci ne polluent les milieux naturels. L'indicateur représente le nombre de cas où une agglomération n'a pas respecté pour une année donnée les exigences relatives aux obligations de collecte, de performance ou d'équipement (une même agglomération peut donc être comptabilisée jusqu'à 3 fois). L'objectif est de faire disparaître ces cas de non conformité aussi rapidement que possible dans les prochaines années.
",Nombre,Hexagone et outre-mer,"Source DGALN/DEB, pierre-edouard.guillain@developpement-durable.gouv.fr","Source DGALN/DEB, pierre-edouard.guillain@developpement-durable.gouv.fr",,,Personne contact indiquée,,1304,mesuré,1303,mesuré,1324,mesuré,1164,mesuré,1277,mesuré,1365,mesuré,,mesuré,,,,,,,,,,,,,,,objectif 0 en 2030,2024-08-02 3:19pm,,Existant,true,true,false,,,
Emissions domestiques de gaz à effet serre de l'industrie  manufacturière et de construction,2e15a4c3-0c8f-4ca7-b5a8-51e70984b333,Industrie,Emissions,Atténuation,1,Barres simple,,"L'industrie représente de l'ordre de 20% des émissions nationales de GES, et la réduction de ces émissions est un enjeu majeur de politique industrielle pour les années à venir. L'indicateur représente les émissions annuelles domestiques de GES de l'industrie manufacturière et de la construction. ",Millions de tonnes équivalent CO2 par an,Hexagone et outre-mer,CITEPA,,https://ressources.citepa.org/Comm_Divers/Secten/Citepa_Secten%202024.pdf,https://www.citepa.org/fr/secten/,Lien seulement,,"83,1856912065",mesuré,"81,6837379555",mesuré,"78,990949032",mesuré,"70,283794167",mesuré,"77,2300548793",mesuré,"70,9938232021",mesuré,"64,8482166992",mesuré,"64,8241083496",projection,"64,8",cible,"60,9",projection,57,projection,"53,1",cible,"49,15",projection,"45,2",cible,"Cible SNBC3
2023: estimation SGPE sur baromètre Secten",2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Emissions de gaz à effet serr des 50 sites très émetteurs hors raffinage,1d2daa5a-f31b-48a5-82df-80b5b9a90464,Industrie,Emissions,Atténuation,2,Barres simple,,"Sur le territoire national, 50 sites industriels majeurs représentent à eux seuls plus de la moitié des émissions de GES de l'industrie, et leurs efforts de décarbonation méritent un suivi spécifique. L'indicateur représente les émissions annuelles de ces 50 sites.
",Millions de tonnes équivalent CO2 par an,Hexagone et outre-mer,"Source DGE, tom.gagnebet@finances.gouv.fr","Source DGE, tom.gagnebet@finances.gouv.fr",,,Personne contact indiquée,,,,,,"43,6",mesuré,"42,5",mesuré,"41,4",mesuré,"38,8",mesuré,38,projection,"37,8",projection,"37,1",projection,"34,3",projection,"32,7",projection,"25,7",projection,"23,8",projection,"21,8",cible,dernier scénario Intermin,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
